# GPS: 4.16791, 102.26261 deg., Elev: 266.83 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
1,20.7,26.62,0.3,3.99
2,20.62,27.31,0.19,6.32
3,20.92,26.42,0.27,1.22
4,20.59,27.76,0.26,11.52
5,20.5,27.79,0.25,6.37
6,20.67,27.36,0.18,1.08
7,21.13,27.57,0.21,3.81
8,20.75,27.64,0.28,3.42
9,20.56,27.78,0.28,5.81
10,18.53,27.01,0.37,19.59
11,19.17,25.33,0.38,5.69
12,17.92,26.31,0.42,0.17
13,18.12,25.55,0.33,0.05
14,18.01,27.31,0.26,0.47
15,19.8,27.43,0.24,2.4
16,20.06,27.28,0.24,2.26
17,19.96,26.77,0.33,1.75
18,18.41,27.11,0.37,1.07
19,18.44,27.55,0.34,1.26
20,19.77,27.7,0.26,4.71
21,19.33,28.42,0.23,3.9
22,20.25,28.59,0.24,0.73
23,19.86,28.27,0.27,6.18
24,19.54,28.05,0.33,0.61
25,19.22,27.15,0.38,0.86
26,17.78,27.34,0.38,0.47
27,18.49,28.11,0.37,0.92
28,19.34,28.86,0.3,0.42
29,19.86,28.15,0.25,0.02
30,19.97,29.15,0.3,0.23
31,20.27,27.93,0.29,20.82
32,20.61,27.72,0.32,20.22
33,20.56,27.81,0.32,4.08
34,20.41,28.6,0.29,9.72
35,19.99,28.9,0.32,3.9
36,20.58,28.04,0.34,6.54
37,20.67,28.02,0.33,7.38
38,20.11,28.08,0.36,0.37
39,20.14,27.96,0.37,6.72
40,19.5,27.82,0.35,13.62
41,19.63,28.36,0.32,1.29
42,20.71,27.42,0.31,5.22
43,20.98,27.64,0.29,2.18
44,20.48,28.54,0.23,14.41
45,21.03,28.66,0.18,4.61
46,21.6,28.56,0.26,3.2
47,20.87,28.66,0.15,0.55
48,21.82,29.11,0.17,0.0
49,21.61,27.64,0.26,0.0
50,21.07,29.15,0.19,2.56
51,20.11,29.11,0.29,0.49
52,19.76,29.77,0.31,0.01
53,21.07,29.2,0.34,0.08
54,21.05,29.46,0.3,5.85
55,21.04,29.8,0.31,1.38
56,22.3,28.5,0.26,2.07
57,21.6,29.11,0.27,16.36
58,20.71,26.97,0.33,42.96
59,21.55,28.06,0.26,3.29
60,20.33,29.0,0.32,0.08
61,19.2,28.65,0.37,1.1
62,18.4,28.84,0.33,0.5
63,19.38,29.1,0.33,2.54
64,20.51,29.27,0.37,0.49
65,19.41,28.86,0.37,0.3
66,20.04,28.62,0.36,7.54
67,19.76,28.58,0.38,3.43
68,20.08,29.98,0.3,0.34
69,21.07,28.94,0.32,0.17
70,21.25,29.44,0.34,0.87
71,20.14,28.69,0.43,0.07
72,20.05,29.77,0.39,0.2
73,21.22,29.64,0.36,4.34
74,21.25,30.17,0.37,0.54
75,21.35,30.06,0.35,0.0
76,19.22,29.61,0.38,0.0
77,21.59,30.16,0.22,0.0
78,21.93,30.2,0.25,0.0
79,21.48,30.3,0.23,0.21
80,22.13,30.39,0.26,4.89
81,21.31,29.96,0.34,1.76
82,21.4,29.97,0.32,12.16
83,21.88,30.25,0.27,1.36
84,21.52,30.26,0.35,0.64
85,20.35,29.37,0.39,1.55
86,20.07,29.7,0.3,10.53
87,21.54,29.83,0.34,0.89
88,21.47,30.09,0.35,5.49
89,21.9,29.97,0.31,7.15
90,22.43,30.66,0.31,16.47
91,22.26,29.79,0.29,16.92
92,22.52,30.88,0.21,13.82
93,22.61,29.2,0.23,5.15
94,22.62,29.7,0.17,3.32
95,22.94,30.04,0.22,3.15
96,23.25,27.28,0.23,3.6
97,22.92,30.34,0.16,1.91
98,22.83,29.35,0.18,4.14
99,22.35,30.03,0.24,5.9
100,22.06,29.75,0.35,18.47
101,21.84,29.68,0.31,5.48
102,21.73,30.27,0.29,0.22
103,21.77,29.71,0.3,12.42
104,22.32,29.62,0.28,10.67
105,21.34,30.01,0.25,2.12
106,22.09,29.84,0.23,5.12
107,22.04,30.73,0.11,0.63
108,23.14,28.78,0.18,21.79
109,21.37,30.83,0.2,2.39
110,22.83,30.41,0.15,0.61
111,23.21,29.1,0.25,10.85
112,22.75,28.37,0.15,4.11
113,22.74,30.25,0.15,3.22
114,22.4,30.35,0.27,0.82
115,21.37,30.62,0.32,0.08
116,21.28,30.22,0.27,0.28
117,21.34,29.87,0.31,5.66
118,21.61,29.6,0.36,8.44
119,22.27,30.31,0.29,2.55
120,22.4,30.43,0.29,19.71
121,22.63,30.32,0.23,3.82
122,22.94,29.64,0.2,1.1
123,22.85,30.06,0.29,1.74
