# GPS: 3.73841, 101.59791 deg., Elev: 335.18 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
1,21.1,27.34,0.77,6.42
2,21.19,26.23,0.63,12.4
3,21.34,26.31,1.03,1.98
4,20.35,27.27,0.81,9.29
5,20.93,26.28,0.69,5.47
6,20.62,28.06,0.69,0.95
7,21.27,27.84,0.65,3.36
8,21.4,26.38,0.85,2.87
9,20.75,26.8,1.0,1.81
10,19.28,27.34,1.5,35.33
11,19.6,25.1,1.61,7.13
12,18.38,26.13,1.78,0.16
13,17.98,26.1,1.25,0.04
14,18.43,27.32,0.91,0.2
15,20.33,27.66,0.73,2.16
16,20.36,27.4,0.83,1.48
17,20.33,26.54,1.45,0.76
18,18.91,26.62,1.57,0.97
19,18.98,27.37,1.08,0.99
20,20.0,27.76,0.98,4.52
21,19.96,28.2,0.79,4.38
22,20.7,28.24,0.98,1.07
23,20.4,27.79,0.93,11.62
24,20.11,27.58,1.5,0.84
25,19.48,27.57,1.41,1.0
26,18.57,27.42,1.29,0.58
27,18.91,27.85,1.28,0.73
28,19.82,28.25,1.04,0.72
29,20.55,27.89,0.86,0.02
30,20.48,28.56,1.05,0.1
31,20.5,28.35,0.85,4.94
32,20.94,27.97,0.95,13.22
33,20.83,27.9,1.24,3.81
34,20.71,28.39,0.88,9.84
35,20.8,28.62,1.0,4.01
36,20.53,28.25,1.33,5.98
37,20.71,27.33,1.12,11.54
38,20.23,28.03,1.08,0.96
39,19.95,28.29,1.18,1.76
40,19.97,27.81,1.16,23.24
41,19.98,27.7,1.22,0.43
42,20.96,27.77,1.1,2.78
43,21.47,27.09,0.8,2.14
44,21.11,27.11,0.61,23.73
45,22.08,26.0,0.43,6.6
46,21.46,27.13,0.38,8.23
47,21.87,28.45,0.61,0.7
48,22.5,29.51,0.51,0.01
49,22.09,28.64,0.62,0.01
50,21.37,28.5,0.63,4.71
51,20.83,28.87,1.13,0.24
52,20.37,29.55,1.06,0.02
53,21.33,29.06,1.07,0.07
54,21.47,29.3,0.83,10.51
55,21.66,29.78,0.73,2.44
56,22.52,28.64,0.55,4.05
57,22.0,28.8,0.6,14.23
58,20.61,27.77,0.88,32.44
59,21.75,27.57,0.72,5.8
60,20.35,28.85,0.92,0.13
61,20.68,28.53,1.02,2.66
62,18.51,28.82,1.13,0.16
63,19.84,29.2,1.16,3.44
64,20.92,29.18,1.21,0.82
65,19.53,28.87,1.43,0.34
66,19.83,28.76,1.25,14.94
67,20.16,28.92,1.29,1.67
68,20.56,29.52,0.91,0.19
69,21.71,28.76,1.06,0.21
70,21.28,29.13,1.16,0.72
71,20.26,28.65,1.47,0.04
72,19.95,29.62,1.29,0.48
73,21.41,29.63,1.3,7.42
74,21.55,30.07,1.21,1.43
75,21.48,29.99,1.15,0.01
76,19.6,29.55,1.05,0.01
77,20.9,30.53,0.48,0.01
78,21.79,30.01,0.92,0.0
79,21.86,29.85,0.83,0.15
80,22.08,30.27,0.86,8.59
81,21.07,30.19,0.96,1.9
82,21.12,30.01,0.73,19.49
83,21.68,29.76,0.61,3.13
84,21.76,30.09,1.07,1.36
85,21.13,29.81,1.17,1.61
86,20.22,29.52,1.05,15.51
