           year,          tmean,       totalrad,      directrad,     diffuserad,           wind,           rain,        netrain,     ambientCO2,            LAI,         pinnae,         rachis,         fronds,          trunk,          roots,           male,         female,        bunches,      flowersex, assim_photosyn,    assim_maint,   assim_growth,      assim_gen,     VDM_growth,     TDM_growth,          yield,      trunk_hgt,      rootdepth,   rootzone_VWC,       actual_E,       actual_T,          pot_T,      actual_ET,   waterdeficit,       layer1_t,       layer2_t,       layer3_t,  layer1_influx,  layer2_influx,  layer3_influx, layer1_outflux, layer2_outflux, layer3_outflux, layer1_netflux, layer2_netflux, layer3_netflux,     layer1_VWC,     layer2_VWC,     layer3_VWC,             BI,            CGR,            NAR
              1,         27.811,       5768.100,       2104.460,       3663.643,          2.416,       2472.663,       1803.802,        350.187,          0.166,          1.298,          2.422,          3.720,          0.629,          0.804,          1.085,          1.249,          6.091,         18.356,         36.974,         10.984,          5.501,         20.488,          3.175,          3.780,          0.237,          0.014,          0.345,          0.398,        526.932,        125.742,        126.663,        652.674,          0.921,         38.337,         87.402,          0.000,       1803.802,       1233.042,       1061.477,       1233.042,       1061.477,        904.584,          5.497,         84.160,        156.885,          0.345,          0.407,          0.428,          0.069,          0.505,          5.850
              2,         27.838,       5780.087,       2107.789,       3672.301,          2.366,       2621.002,       1912.017,        351.887,          0.384,          3.579,          6.799,         10.378,          2.094,          2.478,          1.509,          1.309,          5.375,         48.767,         80.605,         22.262,         15.243,         43.098,          8.791,         10.467,         19.416,          0.153,          0.490,          0.429,        539.362,        215.336,        215.679,        754.698,          0.343,         43.708,        171.652,          0.000,       1912.017,       1325.791,       1140.326,       1325.791,       1140.326,       1147.438,          3.142,         13.792,         -7.101,          0.408,          0.432,          0.420,          0.688,          4.175,         20.907
              3,         27.852,       5795.870,       2127.745,       3668.128,          2.306,       2206.175,       1609.411,        353.587,          1.236,         11.515,         22.021,         33.536,          7.584,          8.694,          3.279,          3.482,         13.170,         46.849,        225.305,         63.074,         57.129,        105.100,         32.942,         39.218,         36.002,          0.497,          0.636,          0.423,        465.396,        502.004,        502.193,        967.400,          0.189,         76.290,        424.623,          1.133,       1609.411,       1069.041,        647.483,       1069.041,        647.483,        630.513,         -1.315,         -3.067,         15.821,          0.382,          0.426,          0.438,          0.522,         10.204,         15.876
              4,         27.849,       5784.551,       2112.327,       3672.230,          2.314,       2606.219,       1901.237,        355.287,          2.738,         25.515,         48.868,         74.383,         19.221,         21.337,          6.011,          7.887,         20.313,         43.836,        477.913,        155.718,        121.109,        201.088,         69.829,         83.118,         76.846,          0.994,          0.765,          0.389,        366.527,        818.545,        916.502,       1185.072,         97.957,        101.686,        678.306,         38.908,       1901.237,       1435.497,        778.822,       1435.497,        778.822,        758.725,         -2.584,        -21.640,        -18.772,          0.330,          0.387,          0.417,          0.524,         21.708,         15.247
              5,         27.845,       5791.284,       2125.095,       3666.188,          2.389,       2754.277,       2009.249,        356.987,          3.932,         36.649,         70.221,        106.870,         33.656,         35.586,          5.952,          5.849,         31.187,         56.164,        696.821,        278.695,        150.209,        267.905,         86.607,        103.103,        111.295,          1.600,          0.909,          0.415,        368.035,       1166.893,       1190.130,       1534.928,         23.237,        122.621,        904.577,        140.187,       2009.249,       1515.017,        597.729,       1515.017,        597.729,        447.877,          3.546,         12.693,          9.673,          0.401,          0.410,          0.427,          0.562,         29.289,         14.325
              6,         27.794,       5760.426,       2101.079,       3659.349,          2.375,       2371.869,       1730.281,        358.687,          4.486,         41.805,         80.113,        121.918,         48.891,         48.232,          7.549,          7.011,         29.298,         47.671,        788.885,        339.469,        158.538,        290.882,         91.406,        108.826,        128.623,          2.234,          1.043,          0.395,        337.188,       1137.542,       1236.136,       1474.730,         98.594,        102.903,        813.858,        221.466,       1730.281,       1293.980,        493.533,       1293.980,        493.533,        282.699,         -3.829,        -13.415,        -10.649,          0.324,          0.385,          0.416,          0.585,         32.564,         13.960
              7,         27.849,       5799.719,       2136.770,       3662.955,          2.392,       2620.875,       1911.925,        360.387,          4.789,         44.635,         85.543,        130.178,         64.353,         58.014,          6.814,          8.517,         32.022,         46.575,        836.227,        364.525,        160.902,        310.795,         92.767,        110.430,        132.852,          2.882,          1.185,          0.443,        360.512,       1245.139,       1276.033,       1605.651,         30.894,         98.823,        820.617,        325.972,       1911.925,       1447.531,        594.081,       1447.531,        594.081,        243.912,          5.016,         32.834,         24.195,          0.425,          0.445,          0.443,          0.589,         33.392,         13.409
              8,         27.813,       5769.915,       2106.503,       3663.402,          2.397,       2998.942,       2187.725,        362.087,          4.997,         46.568,         89.251,        135.819,         80.065,         64.710,          8.622,          6.483,         31.990,         49.315,        868.950,        388.502,        163.511,        316.950,         94.280,        112.237,        139.886,          3.506,          1.322,          0.427,        362.406,       1203.616,       1281.694,       1566.022,         78.078,         85.128,        732.859,        386.027,       2187.725,       1740.539,       1018.900,       1740.539,       1018.900,        644.538,         -0.372,        -11.227,        -11.672,          0.417,          0.425,          0.430,          0.597,         34.657,         13.337
              9,         27.840,       5782.850,       2113.610,       3669.235,          2.358,       2603.749,       1887.449,        363.787,          5.130,         47.812,         91.637,        139.449,         95.877,         69.360,         10.315,          9.284,         27.375,         40.000,        883.210,        396.271,        164.532,        322.396,         94.854,        112.953,        140.018,          4.091,          1.450,          0.415,        344.889,       1122.453,       1278.821,       1467.342,        156.368,         71.877,        635.660,        415.240,       1887.449,       1473.560,        848.193,       1473.560,        848.193,        437.978,         -2.966,        -10.300,         -5.006,          0.358,          0.406,          0.424,          0.596,         34.761,         13.031
             10,         27.799,       5753.475,       2089.948,       3663.524,          2.320,       2168.361,       1560.649,        365.487,          5.215,         48.598,         93.144,        141.742,        111.740,         73.220,          8.049,          8.527,         26.171,         40.000,        895.150,        418.605,        165.087,        311.457,         95.224,        113.306,        135.621,          4.634,          1.500,          0.421,        345.116,       1061.437,       1268.305,       1406.553,        206.868,         63.236,        569.046,        429.329,       1560.649,       1150.727,        568.868,       1150.727,        568.868,        144.968,          1.549,         12.833,         -5.438,          0.389,          0.429,          0.418,          0.587,         34.165,         12.599
