# 29-Jun-2019 10:35 AM
# seed 965745566761
##            1               2               3               4               5               6               7               8               9              10              11              12              13              14              15              16              17              18              19              20              21              22              23              24              25              26              27              28              29              30              31              32              33              34              35              36              37              38              39              40              41              42              43              44              45              46              47              48              49              50              51              52              53              54              55              56
            age,           tmin,           tmax,       totalrad,      directrad,     diffuserad,           wind,           rain,        netrain,         runoff,             DP,     ambientCO2,            LAI,         pinnae,         rachis,          trunk,          roots,           male,         female,        bunches,      flowersex,            VDM,            TDM, assim_photosyn,    assim_maint,   assim_growth,      assim_gen,     VDM_growth,     TDM_growth,          yield,      trunk_hgt,      rootdepth,   rootzone_VWC,    rootzone_WC,    waterstress,       actual_E,       actual_T,          pot_T,     layer1_VWC,  layer1_influx, layer1_outflux, layer1_netflux,       layer1_e,       layer1_t,     layer2_VWC,  layer2_influx, layer2_outflux, layer2_netflux,       layer2_e,       layer2_t,     layer3_VWC,  layer3_influx, layer3_outflux, layer3_netflux,       layer3_e,       layer3_t
            365,         23.609,         32.205,         15.578,          5.940,          9.637,          3.438,         10.589,          7.725,          0.000,          0.566,        348.491,          0.078,          0.401,          0.703,          0.101,          0.201,          0.024,          0.000,          0.000,          0.000,          1.406,          1.430,          0.055,          0.012,          0.008,          0.035,          0.005,          0.006,          0.000,          0.000,          0.200,          0.281,         56.207,          0.762,          0.683,          0.144,          0.189,          0.359,          7.725,          0.825,          6.167,          0.682,          0.050,          0.255,          0.825,          0.075,          0.675,          0.000,          0.075,          0.254,          0.075,          0.075,          0.000,          0.000,          0.000
            366,         23.748,         31.908,         15.342,          5.634,          9.708,          0.886,         15.070,         10.993,          0.000,          5.153,        348.496,          0.079,          0.403,          0.705,          0.102,          0.202,          0.060,          0.000,          0.000,          0.000,          1.411,          1.471,          0.045,          0.011,          0.008,          0.026,          0.005,          0.006,          0.000,          0.000,          0.201,          0.301,         60.324,          0.895,          1.608,          0.207,          0.232,          0.401,         10.993,          7.177,          2.131,          1.608,          0.077,          0.267,          7.177,          0.090,          6.971,          0.000,          0.116,          0.254,          0.090,          0.075,          0.015,          0.000,          0.000
            367,         23.883,         31.805,         15.316,          5.553,          9.763,          1.268,         13.944,         10.172,          0.000,          5.453,        348.501,          0.079,          0.404,          0.708,          0.102,          0.203,          0.088,          0.014,          0.000,          0.000,          1.417,          1.519,          0.061,          0.013,          0.008,          0.040,          0.005,          0.006,          0.000,          0.000,          0.201,          0.314,         63.024,          0.981,          1.905,          0.219,          0.224,          0.413,         10.172,          7.595,          0.588,          1.905,          0.084,          0.281,          7.595,          0.120,          7.349,          0.000,          0.126,          0.254,          0.120,          0.075,          0.045,          0.000,          0.000
            368,         23.609,         31.950,         15.336,          5.658,          9.679,          3.248,          0.000,          0.000,          0.000,          1.373,        348.505,          0.079,          0.405,          0.710,          0.103,          0.204,          0.123,          0.014,          0.000,          0.000,          1.422,          1.560,          0.073,          0.014,          0.008,          0.050,          0.005,          0.006,          0.000,          0.000,          0.201,          0.296,         59.495,          0.863,          2.058,          0.196,          0.227,          0.331,          0.000,          1.964,         -4.105,          2.058,          0.083,          0.284,          1.964,          0.144,          1.695,          0.000,          0.125,          0.254,          0.144,          0.075,          0.069,          0.000,          0.000
            369,         23.318,         32.211,         15.472,          5.895,          9.577,          0.224,          0.000,          0.000,          0.000,          0.238,        348.510,          0.079,          0.406,          0.711,          0.103,          0.204,          0.123,          0.014,          0.000,          0.000,          1.425,          1.562,          0.011,          0.007,          0.003,          0.000,          0.002,          0.002,          0.000,          0.000,          0.202,          0.285,         57.379,          0.790,          1.747,          0.218,          0.276,          0.286,          0.000,          0.411,         -2.248,          1.747,          0.090,          0.284,          0.411,          0.147,          0.126,          0.000,          0.137,          0.254,          0.147,          0.075,          0.072,          0.000,          0.000
            370,         23.660,         32.312,         15.789,          6.104,          9.685,          1.851,         18.003,         13.134,          0.000,          5.163,        348.515,          0.079,          0.407,          0.714,          0.104,          0.205,          0.137,          0.023,          0.000,          0.000,          1.430,          1.590,          0.053,          0.012,          0.008,          0.032,          0.005,          0.006,          0.000,          0.000,          0.202,          0.318,         64.154,          1.000,          1.053,          0.257,          0.257,          0.382,         13.134,          7.211,          4.777,          1.053,          0.093,          0.297,          7.211,          0.164,          6.907,          0.000,          0.141,          0.254,          0.164,          0.075,          0.089,          0.000,          0.000
            371,         23.596,         32.115,         15.554,          5.863,          9.692,          3.221,          0.000,          0.000,          0.000,          0.738,        348.519,          0.079,          0.409,          0.717,          0.105,          0.206,          0.158,          0.044,          0.000,          0.000,          1.436,          1.637,          0.071,          0.014,          0.008,          0.049,          0.005,          0.006,          0.000,          0.000,          0.202,          0.304,         61.544,          0.919,          1.756,          0.225,          0.245,          0.323,          0.000,          1.089,         -2.939,          1.756,          0.093,          0.298,          1.089,          0.190,          0.757,          0.000,          0.142,          0.254,          0.190,          0.075,          0.115,          0.000,          0.000
            372,         23.503,         32.228,         15.642,          5.978,          9.664,          1.943,          0.000,          0.000,          0.000,          0.180,        348.524,          0.080,          0.410,          0.719,          0.106,          0.207,          0.176,          0.057,          0.000,          0.000,          1.442,          1.675,          0.060,          0.013,          0.008,          0.039,          0.005,          0.006,          0.000,          0.000,          0.203,          0.296,         59.956,          0.863,          1.281,          0.229,          0.266,          0.289,          0.000,          0.319,         -1.694,          1.281,          0.094,          0.298,          0.319,          0.192,         -0.016,          0.000,          0.143,          0.254,          0.192,          0.075,          0.116,          0.000,          0.000
            373,         23.379,         32.147,         15.500,          5.859,          9.641,          4.144,         23.862,         17.407,          0.000,          8.345,        348.529,          0.080,          0.411,          0.722,          0.107,          0.208,          0.194,          0.076,          0.000,          0.000,          1.447,          1.717,          0.068,          0.013,          0.008,          0.046,          0.005,          0.006,          0.000,          0.000,          0.203,          0.335,         67.944,          1.000,          0.941,          0.244,          0.244,          0.384,         17.407,         11.617,          4.756,          0.941,          0.093,          0.318,         11.617,          0.229,         11.246,          0.000,          0.143,          0.254,          0.229,          0.076,          0.153,          0.000,          0.000
            374,         23.322,         32.526,         15.897,          6.294,          9.603,          1.369,          2.659,          1.940,          0.000,          1.009,        348.533,          0.080,          0.413,          0.724,          0.107,          0.209,          0.211,          0.089,          0.000,          0.000,          1.453,          1.753,          0.060,          0.013,          0.008,          0.039,          0.005,          0.006,          0.000,          0.000,          0.203,          0.329,         66.882,          1.000,          1.862,          0.258,          0.258,          0.355,          1.940,          1.446,         -1.470,          1.862,          0.101,          0.320,          1.446,          0.284,          1.006,          0.000,          0.156,          0.255,          0.284,          0.076,          0.208,          0.000,          0.000
