# 05-Nov-2018 05:13 PM
# seed 965745566761
##            1               2               3               4               5               6               7               8               9              10              11              12              13              14              15              16              17              18              19              20              21              22              23              24              25              26              27              28              29              30              31              32              33              34              35              36              37              38              39              40              41              42              43              44              45              46              47              48              49              50              51              52              53
            age,           tmin,           tmax,       totalrad,      directrad,     diffuserad,           wind,           rain,        netrain,     ambientCO2,            LAI,         pinnae,         rachis,          trunk,          roots,           male,         female,        bunches,      flowersex,            VDM,            TDM, assim_photosyn,    assim_maint,   assim_growth,      assim_gen,     VDM_growth,     TDM_growth,          yield,      trunk_hgt,      rootdepth,   rootzone_VWC,    waterstress,       actual_E,       actual_T,          pot_T,     layer1_VWC,  layer1_influx, layer1_outflux, layer1_netflux,       layer1_e,       layer1_t,     layer2_VWC,  layer2_influx, layer2_outflux, layer2_netflux,       layer2_e,       layer2_t,     layer3_VWC,  layer3_influx, layer3_outflux, layer3_netflux,       layer3_e,       layer3_t
            365,         23.609,         32.205,         15.017,          5.234,          9.783,          3.438,         10.589,         10.544,        348.491,          0.078,          0.401,          0.703,          0.101,          0.201,          0.031,          0.000,          0.000,          0.000,          1.406,          1.437,          0.066,          0.014,          0.008,          0.044,          0.005,          0.006,          0.000,          0.000,          0.201,          0.284,          0.763,          0.709,          0.128,          0.168,          0.293,          9.788,          7.399,          2.389,          0.709,          0.047,          0.282,          7.399,          1.309,          6.090,          0.000,          0.072,          0.256,          1.309,          0.923,          0.386,          0.000,          0.000
            366,         23.748,         31.908,         14.786,          4.952,          9.833,          0.886,         15.070,         15.006,        348.496,          0.079,          0.403,          0.705,          0.102,          0.202,          0.082,          0.000,          0.000,          0.000,          1.411,          1.493,          0.057,          0.013,          0.008,          0.036,          0.005,          0.006,          0.000,          0.000,          0.203,          0.302,          0.888,          1.097,          0.184,          0.208,          0.306,         13.841,         13.192,          0.649,          1.097,          0.068,          0.301,         13.192,          2.724,         10.468,          0.000,          0.104,          0.258,          2.724,          0.966,          1.758,          0.000,          0.000
            367,         23.883,         31.805,         14.754,          4.877,          9.877,          1.268,         13.944,         13.884,        348.501,          0.079,          0.404,          0.708,          0.102,          0.203,          0.114,          0.016,          0.000,          0.000,          1.417,          1.546,          0.067,          0.014,          0.008,          0.045,          0.005,          0.006,          0.000,          0.000,          0.205,          0.313,          0.966,          1.165,          0.205,          0.212,          0.309,         12.642,         12.466,          0.177,          1.165,          0.077,          0.314,         12.466,          5.168,          7.298,          0.000,          0.120,          0.263,          5.168,          1.109,          4.059,          0.000,          0.000
            368,         23.609,         31.950,         14.788,          4.975,          9.813,          3.248,          0.000,          0.000,        348.505,          0.079,          0.405,          0.710,          0.103,          0.204,          0.150,          0.016,          0.000,          0.000,          1.422,          1.588,          0.074,          0.014,          0.008,          0.052,          0.005,          0.006,          0.000,          0.000,          0.206,          0.296,          0.849,          1.143,          0.180,          0.211,          0.269,         -1.217,          0.818,         -2.035,          1.143,          0.074,          0.305,          0.818,          5.640,         -4.822,          0.000,          0.116,          0.268,          5.640,          1.372,          4.268,          0.000,          0.000
            369,         23.318,         32.211,         14.933,          5.194,          9.739,          0.224,          0.000,          0.000,        348.510,          0.079,          0.407,          0.713,          0.104,          0.204,          0.153,          0.018,          0.000,          0.000,          1.428,          1.600,          0.024,          0.009,          0.008,          0.007,          0.005,          0.006,          0.000,          0.000,          0.208,          0.287,          0.784,          1.188,          0.202,          0.257,          0.256,         -1.269,         -0.653,         -0.616,          1.188,          0.081,          0.297,         -0.653,          3.880,         -4.533,          0.000,          0.129,          0.270,          3.880,          1.589,          2.290,          0.000,          0.000
            370,         23.660,         32.312,         15.218,          5.383,          9.834,          1.851,         18.003,         17.926,        348.515,          0.079,          0.408,          0.716,          0.105,          0.205,          0.171,          0.036,          0.000,          0.000,          1.434,          1.642,          0.065,          0.013,          0.008,          0.043,          0.005,          0.006,          0.000,          0.000,          0.210,          0.314,          0.978,          0.831,          0.205,          0.210,          0.315,         17.023,         14.073,          2.949,          0.831,          0.073,          0.314,         14.073,          4.547,          9.526,          0.000,          0.117,          0.273,          4.547,          1.753,          2.794,          0.000,          0.000
            371,         23.596,         32.115,         14.997,          5.162,          9.835,          3.221,          0.000,          0.000,        348.519,          0.080,          0.409,          0.718,          0.106,          0.206,          0.190,          0.061,          0.000,          0.000,          1.439,          1.690,          0.075,          0.014,          0.008,          0.053,          0.005,          0.006,          0.000,          0.000,          0.212,          0.297,          0.855,          1.220,          0.184,          0.216,          0.269,         -1.294,          1.017,         -2.311,          1.220,          0.074,          0.306,          1.017,          5.680,         -4.663,          0.000,          0.120,          0.277,          5.680,          2.069,          3.611,          0.000,          0.000
            372,         23.503,         32.228,         15.085,          5.268,          9.817,          1.943,          0.000,          0.000,        348.524,          0.080,          0.411,          0.721,          0.106,          0.207,          0.208,          0.079,          0.000,          0.000,          1.445,          1.733,          0.068,          0.014,          0.008,          0.046,          0.005,          0.006,          0.000,          0.000,          0.213,          0.289,          0.796,          0.890,          0.172,          0.217,          0.259,         -0.958,         -0.477,         -0.481,          0.890,          0.067,          0.298,         -0.477,          3.811,         -4.288,          0.000,          0.111,          0.279,          3.811,          2.307,          1.504,          0.000,          0.000
            373,         23.379,         32.147,         14.957,          5.160,          9.797,          4.144,         23.862,         23.759,        348.529,          0.080,          0.412,          0.723,          0.107,          0.208,          0.226,          0.101,          0.000,          0.000,          1.451,          1.778,          0.073,          0.014,          0.008,          0.050,          0.005,          0.006,          0.000,          0.000,          0.215,          0.324,          1.000,          0.760,          0.196,          0.196,          0.325,         22.930,         19.627,          3.303,          0.760,          0.069,          0.323,         19.627,          5.603,         14.024,          0.000,          0.114,          0.282,          5.603,          2.489,          3.114,          0.000,          0.000
            374,         23.322,         32.526,         15.340,          5.562,          9.778,          1.369,          2.659,          2.648,        348.533,          0.080,          0.414,          0.726,          0.108,          0.209,          0.244,          0.119,          0.000,          0.000,          1.457,          1.820,          0.068,          0.014,          0.008,          0.046,          0.005,          0.006,          0.000,          0.000,          0.217,          0.309,          0.937,          1.393,          0.216,          0.231,          0.288,          1.172,          3.040,         -1.868,          1.393,          0.084,          0.315,          3.040,          7.805,         -4.765,          0.000,          0.141,          0.288,          7.805,          3.057,          4.748,          0.000,          0.000
            375,         23.163,         32.480,         15.233,          5.484,          9.749,          0.640,          8.125,          8.090,        348.538,          0.080,          0.415,          0.729,          0.109,          0.210,          0.255,          0.133,          0.000,          0.000,          1.462,          1.851,          0.053,          0.012,          0.008,          0.033,          0.005,          0.006,          0.000,          0.000,          0.219,          0.312,          0.958,          1.147,          0.237,          0.247,          0.300,          6.856,          6.237,          0.619,          1.147,          0.087,          0.315,          6.237,          6.133,          0.104,          0.000,          0.149,          0.291,          6.133,          3.530,          2.602,          0.000,          0.000
            376,         23.257,         32.101,         14.901,          5.103,          9.798,          1.913,          0.000,          0.000,        348.543,          0.080,          0.416,          0.731,          0.110,          0.211,          0.271,          0.155,          0.000,          0.000,          1.468,          1.894,          0.071,          0.014,          0.008,          0.049,          0.005,          0.006,          0.000,          0.000,          0.221,          0.298,          0.861,          1.085,          0.193,          0.224,          0.270,         -1.159,          0.363,         -1.522,          1.085,          0.074,          0.306,          0.363,          5.137,         -4.774,          0.000,          0.128,          0.292,          5.137,          3.862,          1.275,          0.000,          0.000
            377,         23.324,         32.130,         14.983,          5.154,          9.829,          3.153,          0.000,          0.000,        348.547,          0.081,          0.418,          0.734,          0.110,          0.212,          0.289,          0.176,          0.000,          0.000,          1.474,          1.938,          0.073,          0.014,          0.008,          0.051,          0.005,          0.006,          0.000,          0.000,          0.223,          0.291,          0.809,          0.839,          0.170,          0.210,          0.261,         -0.903,         -0.464,         -0.439,          0.839,          0.064,          0.299,         -0.464,          3.360,         -3.824,          0.000,          0.111,          0.291,          3.360,          3.904,         -0.544,          0.000,          0.000
            378,         23.297,         31.901,         14.746,          4.910,          9.835,          3.051,          8.416,          8.379,        348.552,          0.081,          0.419,          0.737,          0.111,          0.213,          0.305,          0.197,          0.000,          0.000,          1.480,          1.982,          0.073,          0.014,          0.009,          0.050,          0.005,          0.006,          0.000,          0.000,          0.224,          0.302,          0.890,          0.761,          0.180,          0.202,          0.295,          7.555,          5.864,          1.691,          0.761,          0.063,          0.304,          5.864,          3.119,          2.746,          0.000,          0.111,          0.291,          3.119,          3.775,         -0.656,          0.000,          0.000
            379,         23.410,         32.009,         14.935,          5.056,          9.880,          0.908,         26.848,         26.730,        348.557,          0.081,          0.421,          0.739,          0.112,          0.214,          0.319,          0.214,          0.000,          0.000,          1.486,          2.019,          0.062,          0.013,          0.009,          0.041,          0.005,          0.006,          0.000,          0.000,          0.226,          0.333,          1.000,          1.107,          0.230,          0.230,          0.333,         25.542,         23.669,          1.873,          1.107,          0.081,          0.333,         23.669,          7.730,         15.940,          0.000,          0.145,          0.295,          7.730,          3.930,          3.799,          0.000,          0.000
            380,         23.275,         32.249,         15.143,          5.293,          9.851,          2.216,          8.374,          8.338,        348.561,          0.081,          0.422,          0.742,          0.113,          0.215,          0.336,          0.235,          0.000,          0.000,          1.492,          2.063,          0.075,          0.014,          0.009,          0.052,          0.005,          0.006,          0.000,          0.000,          0.228,          0.324,          1.000,          1.388,          0.224,          0.224,          0.310,          6.870,          7.977,         -1.107,          1.388,          0.080,          0.327,          7.977,         11.223,         -3.247,          0.000,          0.144,          0.302,         11.223,          5.069,          6.154,          0.000,          0.000
            381,         23.306,         32.289,         15.221,          5.350,          9.871,          1.788,         48.879,         48.665,        348.566,          0.081,          0.423,          0.745,          0.114,          0.216,          0.354,          0.255,          0.000,          0.000,          1.498,          2.106,          0.072,          0.014,          0.009,          0.050,          0.005,          0.006,          0.000,          0.000,          0.230,          0.365,          1.000,          1.206,          0.233,          0.233,          0.364,         47.376,         44.710,          2.666,          1.206,          0.082,          0.365,         44.710,         23.732,         20.978,          0.000,          0.151,          0.320,         23.732,          7.351,         16.381,          0.000,          0.000
            382,         23.287,         32.101,         15.034,          5.149,          9.885,          0.419,          4.385,          4.366,        348.571,          0.082,          0.425,          0.748,          0.114,          0.217,          0.365,          0.269,          0.000,          0.000,          1.503,          2.138,          0.056,          0.013,          0.009,          0.035,          0.005,          0.006,          0.000,          0.000,          0.232,          0.333,          1.000,          1.755,          0.217,          0.217,          0.316,          2.534,          4.940,         -2.406,          1.755,          0.076,          0.338,          4.940,         19.969,        -15.028,          0.000,          0.141,          0.327,         19.969,         13.379,          6.590,          0.000,          0.000
            383,         23.640,         32.237,         15.374,          5.384,          9.990,          1.422,          3.625,          3.609,        348.575,          0.082,          0.426,          0.750,          0.115,          0.218,          0.382,          0.289,          0.000,          0.000,          1.509,          2.180,          0.072,          0.014,          0.009,          0.049,          0.005,          0.006,          0.000,          0.000,          0.234,          0.323,          1.000,          1.292,          0.235,          0.235,          0.304,          2.235,          2.825,         -0.590,          1.292,          0.082,          0.328,          2.825,          8.515,         -5.689,          0.000,          0.153,          0.322,          8.515,         12.879,         -4.365,          0.000,          0.000
            384,         23.495,         32.494,         15.594,          5.640,          9.954,          2.765,          9.010,          8.971,        348.580,          0.082,          0.428,          0.753,          0.116,          0.218,          0.402,          0.308,          0.000,          0.000,          1.515,          2.225,          0.076,          0.014,          0.009,          0.053,          0.005,          0.006,          0.000,          0.000,          0.236,          0.324,          1.000,          1.172,          0.233,          0.233,          0.312,          7.718,          7.318,          0.399,          1.172,          0.081,          0.328,          7.318,          7.268,          0.050,          0.000,          0.153,          0.318,          7.268,         10.897,         -3.629,          0.000,          0.000
            385,         23.692,         32.534,         15.755,          5.739,         10.016,          1.769,          0.000,          0.000,        348.585,          0.082,          0.429,          0.756,          0.117,          0.219,          0.421,          0.326,          0.000,          0.000,          1.521,          2.268,          0.073,          0.014,          0.009,          0.050,          0.005,          0.006,          0.000,          0.000,          0.238,          0.310,          0.948,          1.298,          0.226,          0.238,          0.284,         -1.379,          0.031,         -1.410,          1.299,          0.080,          0.317,          0.031,          5.941,         -5.910,          0.000,          0.154,          0.314,          5.941,          9.611,         -3.669,          0.000,          0.000
            386,         23.819,         32.443,         15.745,          5.677,         10.068,          4.674,          0.000,          0.000,        348.589,          0.082,          0.431,          0.759,          0.118,          0.220,          0.442,          0.346,          0.000,          0.000,          1.527,          2.315,          0.079,          0.015,          0.009,          0.056,          0.005,          0.006,          0.000,          0.000,          0.240,          0.302,          0.889,          0.998,          0.200,          0.224,          0.274,         -1.068,         -0.589,         -0.479,          0.998,          0.070,          0.309,         -0.589,          3.648,         -4.238,          0.000,          0.136,          0.309,          3.648,          8.138,         -4.490,          0.000,          0.000
            387,         23.779,         32.386,         15.690,          5.613,         10.077,          3.450,          0.000,          0.000,        348.594,          0.083,          0.432,          0.761,          0.119,          0.221,          0.462,          0.364,          0.000,          0.000,          1.533,          2.360,          0.076,          0.014,          0.009,          0.053,          0.005,          0.006,          0.000,          0.000,          0.242,          0.296,          0.844,          0.933,          0.187,          0.221,          0.266,         -0.997,         -0.601,         -0.396,          0.933,          0.065,          0.304,         -0.601,          2.669,         -3.270,          0.000,          0.127,          0.305,          2.669,          6.843,         -4.173,          0.000,          0.000
