# GPS: 4.73201, 103.37981 deg., Elev: 148.04 m, Station: 2 m
# 1981/01/01 - 1981/12/31
*doy,tmin,tmax,wind,rain
1,23.399,32.613,1.960,0.000
2,23.398,32.879,1.957,0.000
3,23.409,32.676,2.168,0.000
4,23.398,32.990,2.133,9.436
5,23.301,32.608,1.953,13.286
6,23.391,32.715,1.662,0.000
7,23.380,33.450,1.762,0.000
8,23.328,32.757,1.895,0.000
9,23.361,32.685,2.138,14.236
10,23.219,32.186,2.199,0.000
11,23.246,31.741,2.417,0.000
12,23.215,31.814,2.451,0.000
13,23.167,31.169,2.203,0.000
14,23.095,31.787,2.074,0.000
15,23.245,32.336,2.208,0.000
16,23.284,32.050,2.062,0.000
17,23.252,31.889,2.234,0.000
18,23.191,32.017,2.234,0.000
19,23.156,32.366,2.012,0.000
20,23.260,32.611,1.976,0.000
21,23.246,32.925,1.857,0.000
22,23.282,32.826,1.949,0.000
23,23.262,32.899,1.925,0.000
24,23.309,32.723,2.125,0.000
25,23.238,32.258,2.012,0.000
26,23.153,32.531,2.062,0.000
27,23.235,32.776,2.208,0.000
28,23.322,33.063,1.996,0.000
29,23.323,33.108,2.012,0.000
30,23.371,33.202,2.025,0.000
31,23.421,32.550,1.996,34.606
32,23.393,32.340,2.074,36.226
33,23.360,32.455,2.078,20.496
34,23.357,32.700,1.823,16.756
35,23.339,33.077,1.929,9.816
36,23.436,32.694,2.070,10.536
37,23.420,32.877,2.151,0.000
38,23.385,32.502,2.037,0.000
39,23.421,32.492,2.216,15.286
40,23.317,32.758,2.070,10.726
41,23.371,32.921,2.234,10.856
42,23.425,32.186,2.074,11.426
43,23.413,32.922,1.914,0.000
44,23.402,33.319,1.759,0.000
45,23.369,33.454,1.672,0.000
46,23.379,33.382,1.689,0.000
47,23.290,33.876,1.616,0.000
48,23.330,33.410,1.748,0.000
49,23.383,32.931,1.686,0.000
50,23.390,33.522,1.759,0.000
51,23.398,33.553,1.776,0.000
52,23.402,33.509,1.791,0.000
53,23.508,33.216,1.941,0.000
54,23.503,33.537,1.846,0.000
55,23.497,33.783,1.706,0.000
56,23.562,33.297,1.731,0.000
57,23.530,33.673,1.693,13.066
58,23.442,32.718,1.703,44.136
59,23.470,32.598,1.762,11.096
60,23.442,33.147,1.895,0.000
61,23.358,33.344,1.773,0.000
62,23.398,33.210,1.835,0.000
63,23.372,33.345,1.918,0.000
64,23.459,33.535,2.108,0.000
65,23.415,33.490,2.082,0.000
66,23.505,33.308,2.129,0.000
67,23.434,33.422,1.960,0.000
68,23.431,33.675,2.025,0.000
69,23.530,33.568,2.070,0.000
70,23.538,33.524,2.199,0.000
71,23.390,33.755,1.929,0.000
72,23.489,33.718,1.933,0.000
73,23.590,33.991,1.945,0.000
74,23.609,34.388,1.846,0.000
75,23.551,33.716,1.949,0.000
76,23.497,34.189,1.676,0.000
77,23.614,34.248,1.587,0.000
78,23.597,34.348,1.748,0.000
79,23.546,34.718,1.734,0.000
80,23.537,34.998,1.679,0.000
81,23.522,34.367,1.734,0.000
82,23.565,34.323,1.666,0.000
83,23.619,34.347,1.693,0.000
84,23.556,34.593,1.776,0.000
85,23.361,34.134,1.734,0.000
86,23.489,34.386,1.910,0.000
87,23.652,33.997,2.025,0.000
