           year,       totalrad,      directrad,     diffuserad,           rain,        netrain,      flowersex, assim_photosyn,    assim_maint,   assim_growth,      assim_gen,     VDM_growth,     TDM_growth,          yield,       actual_E,       actual_T,          pot_T,      actual_ET,   waterdeficit,       layer1_t,       layer2_t,       layer3_t,  layer1_influx,  layer2_influx,  layer3_influx, layer1_outflux, layer2_outflux, layer3_outflux, layer1_netflux, layer2_netflux, layer3_netflux,     ambientCO2,            LAI,         pinnae,         rachis,         fronds,          roots,          trunk,           male,         female,        bunches,      trunk_hgt,      rootdepth,   rootzone_VWC,     layer1_VWC,     layer2_VWC,     layer3_VWC,           wind,          tmean,             BI,            CGR,            NAR
              1,       5560.581,       1851.388,       3709.185,       2472.944,       2455.559,         15.890,         37.883,         10.779,          5.692,         21.410,          3.281,          3.912,          0.267,        346.965,         90.465,        106.060,        437.430,         15.595,         16.421,         72.338,          1.980,       2092.159,       2091.172,       2074.549,       2091.172,       2074.549,       2033.691,          0.981,         16.644,         40.848,        350.187,          0.170,          1.329,          2.482,          3.811,          0.825,          0.647,          1.221,          1.396,          5.796,          0.014,          0.807,          0.299,          0.264,          0.301,          0.301,          2.416,         27.811,          0.075,          0.525,          5.940
              2,       5569.554,       1853.172,       3716.379,       2650.279,       2611.168,         43.288,         80.627,         22.635,         15.963,         42.026,          9.206,         10.961,         19.071,        352.843,        184.465,        203.478,        537.308,         19.013,         14.294,        118.552,         51.877,       2244.006,       2240.874,       2222.118,       2240.874,       2222.118,       2211.905,          3.141,         18.755,         10.214,        351.887,          0.399,          3.718,          7.066,         10.784,          2.578,          2.181,          1.701,          1.521,          4.682,          0.149,          1.458,          0.322,          0.327,          0.335,          0.313,          2.358,         27.836,          0.674,          4.185,         20.171
              3,       5584.265,       1870.709,       3713.548,       2208.175,       2107.786,         43.562,        222.768,         64.216,         59.494,         99.076,         34.303,         40.838,         33.755,        331.164,        446.599,        497.005,        777.763,         50.406,         26.438,        238.268,        182.228,       1750.164,       1751.727,       1757.283,       1751.727,       1757.283,       1749.592,         -1.564,         -5.548,          7.685,        353.587,          1.284,         11.965,         22.884,         34.849,          9.051,          7.898,          3.263,          3.242,         12.170,          0.484,          1.500,          0.322,          0.296,          0.325,          0.321,          2.281,         27.851,          0.496,         10.073,         15.086
              4,       5574.770,       1858.410,       3716.364,       2606.219,       2287.961,         40.822,        481.804,        159.688,        123.402,        198.717,         71.148,         84.704,         72.999,        289.739,        815.315,        942.509,       1105.054,        127.194,         48.236,        434.842,        332.941,       1949.993,       1951.185,       1963.797,       1951.185,       1963.797,       1987.731,         -1.197,        -12.617,        -23.934,        355.287,          2.800,         26.099,         49.987,         76.086,         21.924,         19.757,          5.928,          7.653,         21.381,          0.976,          1.500,          0.297,          0.272,          0.302,          0.295,          2.314,         27.849,          0.506,         21.334,         14.652
              5,       5589.274,       1876.938,       3712.333,       2966.501,       2405.853,         52.877,        693.029,        281.807,        151.637,        259.584,         87.426,        104.082,        108.950,        280.946,       1117.022,       1225.385,       1397.968,        108.363,         66.077,        595.719,        456.100,       2058.837,       2056.264,       2037.057,       2056.264,       2037.057,       2016.357,          2.565,         19.216,         20.689,        356.987,          3.981,         37.098,         71.082,        108.180,         36.280,         34.328,          5.813,          5.966,         29.808,          1.570,          1.500,          0.325,          0.323,          0.337,          0.318,          2.396,         27.855,          0.555,         29.064,         14.040
              6,       5558.456,       1851.637,       3706.834,       2408.133,       1846.259,         47.397,        783.956,        341.818,        159.439,        282.695,         91.925,        109.443,        124.665,        261.265,       1118.712,       1262.758,       1379.977,        144.046,         66.182,        596.615,        456.799,       1518.817,       1519.140,       1530.714,       1519.140,       1530.714,       1555.919,         -0.318,        -11.567,        -25.220,        358.687,          4.470,         41.660,         79.835,        121.495,         48.943,         49.650,          6.980,          7.014,         28.883,          2.199,          1.500,          0.300,          0.317,          0.316,          0.290,          2.371,         27.802,          0.576,         32.055,         13.791
              7,       5589.882,       1879.131,       3710.758,       2600.743,       1955.335,         49.041,        818.872,        360.660,        161.693,        296.516,         93.239,        110.997,        128.617,        264.817,       1125.261,       1287.561,       1390.078,        162.300,         66.580,        600.160,        459.509,       1623.937,       1621.834,       1595.723,       1621.834,       1595.723,       1555.603,          2.092,         26.120,         40.126,        360.387,          4.659,         43.417,         83.209,        126.626,         58.701,         65.189,          7.150,          6.934,         31.851,          2.828,          1.500,          0.346,          0.359,          0.363,          0.334,          2.499,         27.851,          0.580,         32.835,         13.553
              8,       5556.959,       1847.969,       3708.985,       3053.975,       2271.539,         46.301,        837.671,        378.713,        162.628,        296.318,         93.752,        111.603,        129.735,        274.971,       1140.469,       1288.715,       1415.440,        148.246,         67.439,        607.984,        465.489,       1929.121,       1932.106,       1956.223,       1932.106,       1956.223,       1979.148,         -2.982,        -24.125,        -22.929,        362.087,          4.776,         44.509,         85.305,        129.814,         65.193,         80.817,          7.693,          6.443,         32.218,          3.442,          1.500,          0.312,          0.299,          0.319,          0.309,          2.389,         27.807,          0.581,         33.076,         13.318
              9,       5573.995,       1859.868,       3714.130,       2600.956,       1922.156,         41.918,        849.366,        383.438,        163.168,        302.762,         94.127,        112.031,        127.795,        266.755,       1110.901,       1292.170,       1377.656,        181.269,         65.706,        592.424,        453.577,       1589.690,       1590.276,       1597.334,       1590.276,       1597.334,       1606.596,         -0.585,         -7.069,         -9.255,        363.787,          4.848,         45.184,         86.601,        131.785,         69.620,         96.497,          9.469,          8.215,         34.357,          4.025,          1.500,          0.301,          0.287,          0.307,          0.299,          2.356,         27.841,          0.576,         32.844,         13.029
             10,       5544.370,       1836.244,       3708.119,       2221.765,       1635.843,         41.644,        858.712,        403.195,        163.520,        292.024,         94.170,        112.217,        129.242,        261.994,       1103.722,       1295.615,       1365.716,        191.893,         65.264,        588.363,        450.467,       1308.593,       1307.227,       1296.493,       1307.227,       1296.493,       1288.719,          1.370,         10.705,          7.776,        365.487,          4.893,         45.600,         87.398,        132.998,         73.275,        112.209,          8.560,          8.192,         31.336,          4.572,          1.500,          0.314,          0.315,          0.326,          0.307,          2.306,         27.795,          0.578,         33.065,         12.995
